title,summary,date,link,type,source,date_parsed
"В МИД России назвали условия ""мира"": Украина должна перестать сражаться",И ещё много что должна,2023-5-27,https://www.svoboda.org/a/v-mid-rossii-nazvali-usloviya-mira-ukraina-dolzhna-perestatj-srazhatjsya/32430270.html,Новости,svoboda,2023-05-27 18:02:24.495748
Парламент Польши одобрил комиссию по расследованию российского влияния,"Критики считают, что законопроект направлен против оппозиции в преддверии выборов",2023-5-27,https://www.svoboda.org/a/poljskiy-parlament-odobril-analiz-rossiyskogo-vliyaniya-v-strane/32430259.html,Новости,svoboda,2023-05-27 18:02:24.495750
Европейские депутаты усомнились в  готовности Венгрии возглавить ЕС,Венгрия нередко заявляет особую позицию в решении общих задач ЕС,2023-5-26,https://www.svoboda.org/a/evropeyskie-deputaty-usomnilisj-v-gotovnosti-vengrii-vozglavitj-es-v-2024/32429808.html,Новости,svoboda,2023-05-27 18:02:24.495751
Линор Горалик и её ROAR,Журнал антивоенного сопротивления исключил слово Russian из названия. После публикации украинского автора ROAR  называется Resistance and Oppositional Arts Review,2023-5-26,https://audio.rferl.org/RU/2023/05/26/01000000-0a00-0242-392a-08db5e2abc45_hq.mp3,Фанайлова: Вавилон Москва,svoboda,2023-05-27 18:02:24.495752
"Порошенко: ""Прочный мир Украине обеспечат только НАТО и Евросоюз""",В июле в Вильнюсе состоится саммит НАТО,2023-5-26,https://www.svoboda.org/a/poroshenko-prochnyy-mir-ukraine-obespechat-toljko-nato-i-evrosoyuz-/32429795.html,Новости,svoboda,2023-05-27 18:02:24.495753
У теневого перевозчика российской нефти отзовут сертификацию 21 судна,За нарушение санкций,2023-5-26,https://www.svoboda.org/a/tenevogo-perevozchika-rossiyskoy-nefti-lishat-litsenziy-na-sudohodstvo/32429764.html,Новости,svoboda,2023-05-27 18:02:24.495754
Долгие дни войны,"Когда кончится агрессия? В эфире Юлия Латынина.
НАСТОЯЩИЙ МАТЕРИАЛ (ИНФОРМАЦИЯ) ПРОИЗВЕДЁН, РАСПРОСТРАНЕН И (ИЛИ) НАПРАВЛЕН ИНОСТРАННЫМ АГЕНТОМ СОКОЛОВЫМ МИХАИЛОМ ВЛАДИМИРОВИЧЕМ, ЛИБО КАСАЕТСЯ ДЕЯТЕЛЬНОСТИ ИНОСТРАННОГО АГЕНТА СОКОЛОВА МИХАИЛА ВЛАДИМИРОВИЧА. 18+",2023-5-26,https://www.svoboda.org/a/dolgie-dni-voyny/32429660.html,Лицом к событию,svoboda,2023-05-27 18:02:24.495755
Полиция Берлина проверит экс-солиста Pink Floyd Роджера Уотерса,Его сценический образ напомнил полиции нацистский мундир,2023-5-26,https://www.svoboda.org/a/politsiya-berlina-proverit-eks-solista-pink-floyd-rodzhera-uotersa/32429751.html,Новости,svoboda,2023-05-27 18:02:24.495757
Куда ушел российский люкс,Деньги перестали решать всё,2023-5-26,https://www.svoboda.org/a/kuda-ushel-rossiyskiy-lyuks/32429496.html,Деньги на Свободе,svoboda,2023-05-27 18:02:24.495758
"Минюст объявил иноагентом солиста группы ""Би-2"" Егора Бортника",А также ещё семь человек и две организации,2023-5-26,https://www.svoboda.org/a/minyust-obyavil-inoagentami-lyovu-bi-2-i-aleksandru-arhipovu/32429722.html,Новости,svoboda,2023-05-27 18:02:24.495759
"Главу совета РПЦ по искусству сняли с должности за ""воспрепятствование"" передаче ""Троицы""","Патриарх Кирилл отстранил от должностей и запретил в священнослужении протоиерея Леонида Калинина, председателя экспертного совета РПЦ по церковному искусству, архитектуре и реставрации, за ""воспрепятствование"" передаче иконы ""Троица"" Андрея Рублева в храм Христа Спасителя. Об этом сообщается на сайте РПЦ.


Кроме того, патриарх Кирилл освободил Калинина от должности настоятеля храма священномученика Климента, а также от должности епархиального древлехранителя Московской епархии и от послушания члена Патриаршего совета по культуре.


В комментарии агентству ТАСС Калинин сказал, что ""видимо, совершил ошибку"".


""Я решения своего руководства не комментирую. Если такое решение было принято – значит, оно продумано. Поэтому я принимаю спокойно и прошу молитв всех, кто меня любит и знает. Я всегда стараюсь поступать, как могу, может быть, я ошибаюсь. Видимо, совершил какую-то ошибку"", – заявил он.




23 мая участники экспертного совета Третьяковки пришли к выводу, что икона не может быть вывезена за пределы галереи ""из-за сложного и нестабильного состояния, а также непредсказуемости продолжающегося процесса негативных изменений"". Одним из участников совета от РПЦ был Калинин.


Ранее Калинин говорил, что у него есть ряд вопросов, касающихся подготовки иконы к перевозке. По его мнению, необходимо создать ""специальную защитную капсулу, в которой может быть инертный газ, где ""Троица"" будет прекрасно себя чувствовать, где не будет опасности повреждений, грибков, перепадов температуры и влажности"". При этом Калинин утверждал, что эти вопросы решаемы совместными усилиями церкви и музейного сообщества.


15 мая Владимир Путин решил передать икону ""Троица"" Андрея Рублева Русской православной церкви (РПЦ) из собрания Третьяковской галереи. 26 мая Кремль сообщил о согласовании схемы вывоза ""Троицы"" из Третьяковской галереи.


Позднее Министерство культуры заявило, что икона будет выставлена в храме Христа Спасителя 4 июня и пробудет там две недели, после чего отправится на реставрацию и консервацию.




Летом 2022 года ""Троицу"" уже отправляли из Третьяковской галереи, где икона находится на сохранении с 1929 года, в лавру на богослужение в честь 600-летия обретения мощей Сергия Радонежского. Тогда сотрудники Третьяковской галереи, исследователи и реставраторы возражали против передачи памятника XV века в распоряжение РПЦ, опасаясь, что перемещение и изменение условий хранения иконы могут пагубно сказаться на ее сохранности.


Позже оказалось, что опасения сотрудников Третьяковской галереи оправдались: после возвращения реликвии из лавры, специалисты обнаружили на ней 61 повреждение. Эксперты пришли к выводу, что в храме лавры, где выставлялась икона, не было необходимых климатических условий для ее сохранности.


Среди прочего комиссия обнаружила на иконе ""многочисленные шелушения красочного слоя"", которые могут увеличиться и срочно нуждаются в укреплении. Эксперты предполагали, что выявленные повреждения – ""лишь часть начавшегося процесса негативных изменений"", которые, как указывалось в выводах комиссии, ""серьезны и могут угрожать существованию древнего и хрупкого памятника"".


Икона Андрея Рублева ""Святая Троица"" до 1929 года находилась в Троице-Сергиевой лавре, затем была передана Третьяковской галерее. Из нее икону вывозили всего два раза: во время Второй мировой войны – в эвакуацию в Новосибирск и летом 2022 года.


В основу иконы положен ветхозаветный сюжет ""Гостеприимство Авраама"". Он повествует о том, как Авраам встретил трех ангелов. Во время трапезы ему было дано обетование о грядущем рождении сына Исаака. Икона была одной из наиболее почитаемых на Руси. В 1575 году для нее пожертвовал оклад Иван Грозный, с тех пор она находилась в Троицком соборе Троице-Сергиевой лавры.",2023-5-27,https://www.currenttime.tv/a/rpts-dolzhnost-troitsa/32430576.html,Новости,currenttime,2023-05-27 18:02:30.417253
